restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
x256BGaUq3lUL2_oF2x_g,Acappella Bistro,"A' Cappella Bistro - Near Southside - Chicago, IL",22,2,"Restaurants, Breakfast & Brunch, Italian, METADATA",1301 S Michigan AVE,Mon-Fri 11 am - 9 pm Sat 10 am - 9 pm Sun 10 am - 7 pm,Yes,Yes,"Garage, Street",Casual,No,$$,,Yes,Yes,Yes,No,No,Dinner,No,,,No,,Yes,http://acappellabistro.com,(312) 922-0600,18
gSixifGJO51MHlMLlv0ITQ,A Mano,"A Mano - CLOSED - Near North Side - Chicago, IL",93,4,"Restaurants, Italian, METADATA",335 N Dearborn St,,No,Yes,"Street, Valet",Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,,Dinner,Full Bar,,,,,Yes,http://www.amanochicago.com,(312) 629-3500,22
x1n82y4si2wajmqMD3Og4w,Abou Andre llc,"Abou Andre - The Loop - Chicago, IL",14,4,"Restaurants, Middle Eastern, Mediterranean, METADATA",60 E JACKSON AVE FL ,Mon-Sat 10:30 am - 9 pm,Yes,Yes,,Casual,Yes,$,No,Yes,Yes,No,No,Free,"Lunch, Dinner",No,Average,,No,Yes,Yes,http://abouandre.com,(312) 386-1300,3
X17aZqZ7-mEEzF6Me3yGcw,Ada's Famous Deli,"Ada's Famous Deli - The Loop - Chicago, IL",110,3,"Restaurants, Delis, Nightlife, Bars, Lounges, American (Traditional), METADATA",14 S Wabash Ave,Mon-Sat 6 am - 8 pm,Yes,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,,Lunch,Full Bar,Quiet,,Yes,,Yes,,(312) 214-4282,7
cKBsDV2zyOpmgjDANJl3fw,ALAIN'S RESTAURANT,"Alain's - Near Southside - Chicago, IL",7,4,"Restaurants, Southern, French, METADATA",1355 S Michigan Ave,,,,,,,,,,,,No,,,,Average,,,,,http://www.alainsets.com/,(312) 922-1186,2
ik7AItX8aAsIPvDGp16Bqw,ALL STARS ON WELLS,"Allstars Sports Bar & Grill - The Loop - Chicago, IL",28,3,"Nightlife, Bars, Sports Bars, Restaurants, American (Traditional), METADATA",205 W Wacker Dr,Mon-Fri 11 am - 11 pm Sat 12 pm - 11 pm,No,Yes,"Garage, Street",Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,Free,Lunch,Full Bar,Average,Casual,Yes,Yes,Yes,http://www.allstarschicago.com,(312) 977-1010,10
CbmDIicYRO-Ah9YqcMTq7g,Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",5,3,"Restaurants, Fast Food, METADATA",401 S Lasalle St,,No,Yes,,Casual,No,$,No,Yes,Yes,No,No,,,No,Average,,No,Yes,,http://www.alonti.com,(312) 786-4668,0
GCBnAGTdQdHXuVfXpmAQXQ,Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",6,4,"Restaurants, Delis, METADATA",225 N Michigan Ave,,,Yes,,Casual,No,$,No,No,Yes,No,,,,,,,,,,http://www.alonti.com,(312) 240-0349,0
I6fNJOS2Sa2QhSPjH1wSVg,Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",43,4,"Restaurants, Fast Food, Italian, Sandwiches, METADATA",177 W Washington St,,Yes,Yes,,Casual,Yes,$,No,Yes,Yes,No,No,,"Lunch, Breakfast",No,,,,No,Yes,http://www.alonti.com,(312) 372-7550,1
qgti5xJUQhrxh-J4K2iAzg,Alonti Cafe,"Alonti Deli - Near West Side - Chicago, IL",4,3,"Restaurants, Delis, METADATA",2 N Riverside Plz,,,,,Casual,,$$,No,No,Yes,No,No,,,,,,,,,,(312) 258-0770,2
