ninis-deli-chicago,Nini's Deli,"543 N Noble St, Chicago, IL 60642",461,5.0,delis,+13122439822,https://www.yelp.com/biz/ninis-deli-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
two-chicago,TWO,"1132 W Grand Ave, Chicago, IL 60642",731,4.5,newamerican,+13126248363,https://www.yelp.com/biz/two-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
pizzeria-bebu-chicago,Pizzeria Bebu,"1521 N Fremont St, Chicago, IL 60642",125,4.5,pizza,+13122806000,https://www.yelp.com/biz/pizzeria-bebu-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
ada-street-chicago,Ada Street,"1664 N Ada St, Chicago, IL 60642",462,4.0,bars,+17736977069,https://www.yelp.com/biz/ada-street-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
earls-kitchen-bar-chicago,Earls Kitchen + Bar,"1538 N Clybourn Ave, Chicago, IL 60642",276,4.0,newamerican,+13129293952,https://www.yelp.com/biz/earls-kitchen-bar-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
the-matchbox-chicago,The Matchbox,"768 N Milwaukee Ave, Chicago, IL 60642",261,4.0,bars,+13126669292,https://www.yelp.com/biz/the-matchbox-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
opart-thai-house-chicago-2,Opart Thai House,"1371 W Chicago Ave, Chicago, IL 60642",183,4.0,thai,+13129880986,https://www.yelp.com/biz/opart-thai-house-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
tempesta-market-chicago-4,Tempesta Market,"1372 W Grand Ave, Chicago, IL 60642",40,4.5,intlgrocery,+13129292551,https://www.yelp.com/biz/tempesta-market-chicago-4?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
g-and-o-chicago,G & O,"459 W Ogden Ave, Chicago, IL 60642",162,4.0,newamerican,+13128883367,https://www.yelp.com/biz/g-and-o-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
podhalanka-chicago,Podhalanka,"1549 W Division St, Chicago, IL 60642",392,4.0,polish,+17734866655,https://www.yelp.com/biz/podhalanka-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
cafe-central-chicago,Cafe Central,"1437 W Chicago Ave, Chicago, IL 60642",201,4.0,puertorican,+13122436776,https://www.yelp.com/biz/cafe-central-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
olive-mediterranean-grill-chicago-3,Olive Mediterranean Grill,"1001 W North Ave, Chicago, IL 60642",220,4.0,mediterranean,+13122745525,https://www.yelp.com/biz/olive-mediterranean-grill-chicago-3?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
burger-bar-chicago-lincoln-park-chicago,Burger Bar Chicago - Lincoln Park,"1578 N Clybourn Ave, Chicago, IL 60642",928,4.0,burgers,+13122550055,https://www.yelp.com/biz/burger-bar-chicago-lincoln-park-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
flo-chicago,Flo,"1434 W Chicago Ave, Chicago, IL 60642",834,4.0,breakfast_brunch,+13122430477,https://www.yelp.com/biz/flo-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
fort-willow-chicago-3,Fort Willow,"1721 N Elston Ave, Chicago, IL 60642",13,4.5,bars,+17736878898,https://www.yelp.com/biz/fort-willow-chicago-3?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
