License,Inspection Date
2528672,03/22/2018
2574983,03/22/2018
83774,03/22/2018
2574982,03/22/2018
2541873,03/22/2018
2560192,03/22/2018
2560191,03/22/2018
2583537,03/22/2018
2423353,03/22/2018
2463584,03/21/2018
2584007,03/21/2018
2575414,03/20/2018
2391658,03/20/2018
2575413,03/20/2018
2384876,03/20/2018
2368636,03/20/2018
2551759,03/20/2018
2551758,03/20/2018
2522994,03/19/2018
1047362,03/19/2018
32728,03/19/2018
1948417,03/19/2018
1985572,03/19/2018
1848194,03/19/2018
2391120,03/19/2018
2405949,03/19/2018
1337574,03/19/2018
2523045,03/19/2018
68542,03/19/2018
2185026,03/19/2018
2321637,03/19/2018
2469513,03/19/2018
2469807,03/19/2018
2363325,03/16/2018
2579139,03/16/2018
1492008,03/16/2018
3752,03/16/2018
2299483,03/15/2018
2216081,03/15/2018
2501540,03/15/2018
3676560,03/15/2018
2583706,03/15/2018
33267,03/15/2018
2578767,03/13/2018
2458615,03/15/2018
2583167,03/14/2018
2313793,03/14/2018
2463363,03/14/2018
25301,03/14/2018
2583979,03/14/2018
2560591,03/14/2018
2333150,03/14/2018
24941,03/14/2018
2172507,03/14/2018
2583843,03/14/2018
2536548,03/14/2018
7545,03/14/2018
2134495,03/13/2018
2476271,03/13/2018
2583638,03/13/2018
2570240,03/13/2018
2583248,03/13/2018
2373694,03/13/2018
1496143,03/13/2018
2583892,03/13/2018
8055,03/13/2018
2578766,03/13/2018
1938179,03/13/2018
2104019,03/13/2018
2583790,03/13/2018
2578688,03/13/2018
2555874,03/13/2018
2555875,03/13/2018
2574951,03/13/2018
2578687,03/13/2018
2574950,03/13/2018
2397872,03/13/2018
2008956,03/09/2018
64371,03/09/2018
2326483,03/09/2018
68669,03/09/2018
2578108,03/09/2018
36111,03/09/2018
2559648,03/09/2018
73985,03/09/2018
2522465,03/09/2018
3002645,03/09/2018
2583730,03/09/2018
66441,03/09/2018
1927149,01/18/2018
2583667,03/08/2018
2492468,03/08/2018
2551022,03/08/2018
2583760,03/08/2018
2354016,03/08/2018
2451778,03/08/2018
28690,03/08/2018
2451779,03/08/2018
2583156,03/08/2018
2569494,03/08/2018
2569493,03/08/2018
2583535,03/08/2018
25341,03/08/2018
2569273,03/08/2018
2569272,03/08/2018
2559808,03/08/2018
2487565,03/07/2018
2216148,03/07/2018
2412407,03/07/2018
2579251,03/07/2018
2583492,03/06/2018
25302,03/07/2018
2570374,03/06/2018
2578715,03/06/2018
2262823,03/06/2018
1696253,03/06/2018
2579014,03/06/2018
46041,03/06/2018
2313930,03/06/2018
1696253,03/02/2018
2574903,03/06/2018
1646977,03/06/2018
2583306,03/06/2018
7041,03/02/2018
1909273,03/02/2018
1277374,03/02/2018
2327448,01/18/2018
2153284,03/02/2018
2069677,03/02/2018
2496343,03/02/2018
7546,03/02/2018
2328544,03/02/2018
23051,03/02/2018
491,03/02/2018
1578493,03/02/2018
1677513,03/02/2018
2422991,03/01/2018
1985223,01/29/2018
2362721,03/01/2018
2583407,03/01/2018
2405150,03/01/2018
1547031,03/01/2018
2575255,03/01/2018
2308673,03/01/2018
2313867,03/01/2018
1909539,03/01/2018
2583373,03/01/2018
2574556,03/01/2018
1909523,03/01/2018
2569483,03/01/2018
1447481,03/01/2018
2363903,03/01/2018
2535182,03/01/2018
1682456,03/01/2018
2574734,02/28/2018
2423912,02/28/2018
2578393,02/28/2018
25391,02/28/2018
1822716,02/28/2018
24571,02/27/2018
2575468,02/27/2018
70217,02/27/2018
2522290,02/27/2018
1767831,02/27/2018
25041,02/27/2018
2412215,02/27/2018
2578016,02/27/2018
2578019,02/27/2018
2549537,02/27/2018
2578015,02/27/2018
31071,02/27/2018
2418270,02/27/2018
2397872,02/26/2018
1520427,02/26/2018
2179179,02/26/2018
2496025,02/26/2018
2363903,02/26/2018
2575468,02/26/2018
23641,02/26/2018
2560269,12/19/2017
2488367,02/23/2018
2428445,02/23/2018
2437653,02/23/2018
2137407,02/23/2018
2487796,02/23/2018
2583178,02/23/2018
2108499,02/23/2018
25091,02/23/2018
2423338,02/23/2018
2476050,12/19/2017
41816,02/23/2018
2298369,02/23/2018
46131,02/23/2018
2215573,02/23/2018
2390702,02/23/2018
2578266,02/23/2018
1964659,02/23/2018
1922105,02/23/2018
2129761,02/22/2018
2283476,02/22/2018
