Name,Address,Failed Inspection on,Alive(Years)
1 SHOP & SAVE INC,5540 W NORTH AVE 1ST,12/01/2017,0.19
DANDANA,5324 N KEDZIE AVE 1ST,11/16/2017,0.04
SAKO RESTAURANT AND GROCERY INC.,1000 W 63RD ST 1,12/07/2016,0.64
MZ FOOD & CELLULAR,1551 S KEDZIE AVE 1ST,12/06/2016,1.00
SMILEY FOOD,5958 S RACINE AVE 1,10/07/2016,1.07
CHICAGO MINI MART,3925 W CHICAGO AVE 1ST,09/21/2016,0.51
JACOB ONE STOP SHOP INC.,6957 S HALSTED ST 1,09/01/2016,0.78
FARMER'S FRESH MEAT MART INC.,457 E 79TH ST 1ST,08/18/2016,0.72
NAIM FINER FOODS INCORPORATED,2501 E 106TH ST 1ST,08/04/2016,0.32
DANDANA,5324 N KEDZIE AVE 1ST,08/04/2016,1.24
JACOB ONE STOP SHOP INC.,6957 S HALSTED ST 1,08/02/2016,0.87
S & T 79TH FOOD MART INC.,2455 W 79TH ST 1ST 67 8,04/19/2016,1.27
TAVEONS GROCERIES,4335 W MADISON ST 1ST,04/12/2016,0.73
RIDGEWAY FOOD MARKET INC.,3728 W DIVISION ST 1ST,03/21/2016,0.90
DOLLAR QUICK MART INC.,4074 W 26TH ST 1ST,03/08/2016,0.56
MZ FOOD & CELLULAR,1551 S KEDZIE AVE 1ST,03/01/2016,1.76
DA FRESH MARKET,11250 S MICHIGAN AVE 1ST,02/08/2016,1.48
S L DISCOUNT INC.,4153 W MADISON ST 1ST,02/05/2016,0.85
BARNEY'S MART INC.,2637 W 63RD ST 1ST,12/29/2015,1.60
W M MART INC.,11617 S HALSTED ST,11/10/2015,1.67
big mikes gyros,7859 S STATE ST FIRST FLOOR G,10/29/2015,1.28
SAGINAW FOOD MART INC.,2635 E 79TH ST 1,10/26/2015,1.35
I & O FOOD MART INC.,1359 W 79TH ST 1,10/22/2015,0.50
STOP & SAVE,2623-2625 E 83RD ST 1ST,09/11/2015,1.05
FARMER'S FRESH MEAT MART INC.,457 E 79TH ST 1ST,07/09/2015,1.83
FARMER'S FRESH MEAT MART INC.,457 E 79TH ST 1ST,07/06/2015,1.84
I & O FOOD MART INC.,1359 W 79TH ST 1,06/24/2015,0.82
HALSTED FOOD,7349 S HALSTED ST 1ST,05/27/2015,1.78
LA MARGUARITA AUTHENTIC MEXICAN FOOD,4368 N MILWAUKEE AVE 1ST,04/17/2015,0.44
A & S FOOD MART # 1 INC.,2701 E 79TH ST 1ST,02/27/2015,1.91
big mikes gyros,7859 S STATE ST FIRST FLOOR G,01/14/2015,2.07
HALSTED FOOD,7349 S HALSTED ST 1ST,12/22/2014,2.21
BP,8642-8650 S MORGAN ST 1ST,12/10/2014,1.86
I & O FOOD MART INC.,1359 W 79TH ST 1,11/05/2014,1.46
big mikes gyros,7859 S STATE ST FIRST FLOOR G,09/30/2014,2.36
CHICAGO AVENUE MART INC.,3360 W CHICAGO AVE,08/11/2014,1.01
STOP & SAVE,2623-2625 E 83RD ST 1ST,07/25/2014,2.18
STOP & SAVE,2623-2625 E 83RD ST 1ST,07/16/2014,2.21
BLESSING MINI MART,4067 W FIFTH AVE 1ST,06/12/2014,1.17
MICHAELS FAST FOOD & GROCERY INC.,10659 S WENTWORTH AVE,05/27/2014,1.71
NAIM FINER FOODS INCORPORATED,2501 E 106TH ST 1ST,02/19/2014,2.78
MANA DISCOUNT INC.,9531 S JEFFERY AVE 1ST,01/13/2014,2.94
AMMAN ONE STOP SHOP,3635 W DIVERSEY AVE 1,12/27/2013,1.72
HOYNE DISCOUNT INC.,2053 W 79TH ST 1ST,09/16/2013,0.73
PALESTINE GROCERY INC.,739 E 79TH ST 1,08/14/2013,1.97
JO'S GROCERY INC.,5050 W CHICAGO AVE 1ST,07/11/2013,1.73
KSO FOOD MART,3524 W CHICAGO AVE 1ST,06/14/2013,2.04
THE HAUTE & THE DOG,1252 N DAMEN AVE 1ST,06/13/2013,1.35
KSO FOOD MART,3524 W CHICAGO AVE 1ST,06/11/2013,2.05
MARIOS GOOD,2623-2625 E 83RD ST 1ST,04/22/2013,1.27
SONYA FOOD MARKET,205 S WESTERN AVE 1ST,03/05/2013,1.06
EDY'S,6421 S DR MARTIN LUTHER KING JR DR 1ST,01/25/2013,2.41
M & M FOOD & DOLLAR STORE,5026 W DIVERSEY AVE 1ST,12/18/2012,1.47
HALSTED FOOD MART INC,12301 S HALSTED ST 1ST FLOOR,12/14/2012,0.92
TOMMY O's,3115 S ARCHER AVE 1ST,10/16/2012,3.05
FLAME N HOT CONVENIENCE,1922 E 79TH ST 1ST,10/05/2012,0.09
SONYA FOOD MARKET,205 S WESTERN AVE 1ST,09/11/2012,1.54
MARIOS GOOD,2623-2625 E 83RD ST 1ST,08/21/2012,1.94
HOYNE DISCOUNT INC.,2053 W 79TH ST 1ST,07/17/2012,1.90
SWEET TART INC.,1559 S HOMAN AVE 1ST,07/10/2012,0.60
SAVECO EXPRESS CO,3335 W CHICAGO AVE 1,06/21/2012,3.41
B & J SUPERMARTKET,101 W 107TH ST 1ST,06/20/2012,0.73
CAFE VERSACE,2659-2661 N HARLEM AVE MAIN,05/15/2012,0.48
B & J SUPERMARTKET,101 W 107TH ST 1ST,05/10/2012,0.84
CHICAGO CONVIENCE STORE,7627 S JEFFERY BLVD 1ST,03/21/2012,1.22
HALSTED QUICK MART & CELLULAR,12201-12209 S HALSTED ST 1ST,02/10/2012,1.22
INFUSION CAFE,6118-6120 N LINCOLN AVE 1,02/09/2012,0.85
HALSTED QUICK MART & CELLULAR,12201-12209 S HALSTED ST 1ST,01/05/2012,1.32
63RD DISCOUNT,2541 W 63RD ST,12/23/2011,1.34
63RD DISCOUNT,2541 W 63RD ST,12/15/2011,1.36
CHICAGO AVE QUICK MART,5604 W CHICAGO AVE 1ST,12/05/2011,1.22
big mikes gyros,7859 S STATE ST FIRST FLOOR G,11/15/2011,5.23
EL PUEBLITO #5,3209 W LAWRENCE AVE 1ST,09/15/2011,1.39
FLAMING HOT FOOD & RESTAURANT INC.,3750 W CHICAGO AVE 1ST,06/30/2011,1.08
SWEET TART INC.,1559 S HOMAN AVE 1ST,05/24/2011,1.73
NEW SUNRISE SUBMARINE INC.,1140 W 76TH ST 1ST,05/19/2011,0.56
FLAME N HOT CONVENIENCE,1922 E 79TH ST 1ST,04/25/2011,1.54
FANTASEA,2122 W LAWRENCE AVE 1,02/15/2011,3.23
FANTASEA,2122 W LAWRENCE AVE 1,02/15/2011,3.23
ME-ME ONE STOP FOOD,812 E 79TH ST 1ST,01/11/2011,1.63
ME-ME ONE STOP FOOD,812 E 79TH ST 1ST,01/06/2011,1.65
THE CONNECT,507 E 130TH ST 1ST,11/17/2010,1.36
THE CONNECT,507 E 130TH ST 1ST,11/15/2010,1.37
NEW SUNRISE SUBMARINE INC.,1140 W 76TH ST 1ST,05/26/2010,1.54
