Census Block,Month,Avg. Temperature,Type of Robbery,Probability (%)
3301001010,June,22.32581121,ROBBERY,10.0
3301001010,July,22.32581121,ROBBERY,18.181818181818183
3301001010,August,22.32581121,ROBBERY,21.428571428571427
816001011,June,22.32581121,ROBBERY,0.0
816001011,July,22.32581121,ROBBERY,0.0
816001011,August,22.32581121,ROBBERY,0.0
3204001019,June,22.32581121,ROBBERY,0.0
3204001019,July,22.32581121,ROBBERY,0.0
3204001019,August,22.32581121,ROBBERY,0.0
3204001010,June,22.32581121,ROBBERY,0.0
3204001010,July,22.32581121,ROBBERY,0.0
3204001010,August,22.32581121,ROBBERY,16.666666666666664
3301001010,June,22.32581121,ROBBERY,10.0
3301001010,July,22.32581121,ROBBERY,18.181818181818183
3301001010,August,22.32581121,ROBBERY,21.428571428571427
8391001027,June,22.32581121,ROBBERY,10.0
8391001027,July,22.32581121,ROBBERY,12.5
8391001027,August,22.32581121,ROBBERY,11.11111111111111
8391002021,June,22.32581121,ROBBERY,0.0
8391002021,July,22.32581121,ROBBERY,0.0
8391002021,August,22.32581121,ROBBERY,14.285714285714285
3201002030,June,22.32581121,ROBBERY,0.0
3201002030,July,22.32581121,ROBBERY,0.0
3201002030,August,22.32581121,ROBBERY,0.0
8391001056,June,22.38849028,ROBBERY,0.0
8391001056,July,22.38849028,ROBBERY,0.0
8391001056,August,22.38849028,ROBBERY,0.0
2801002027,June,22.38849028,ROBBERY,0.0
2801002027,July,22.38849028,ROBBERY,0.0
2801002027,August,22.38849028,ROBBERY,0.0
2819001005,June,22.32581121,ROBBERY,0.0
2819001005,July,22.32581121,ROBBERY,0.0
2819001005,August,22.32581121,ROBBERY,0.0
8391001061,June,22.32581121,ROBBERY,0.0
8391001061,July,22.32581121,ROBBERY,0.0
8391001061,August,22.32581121,ROBBERY,20.0
3204001020,June,22.32581121,ROBBERY,0.0
3204001020,July,22.32581121,ROBBERY,0.0
3204001020,August,22.32581121,ROBBERY,0.0
8390004002,June,22.32581121,ROBBERY,0.0
8390004002,July,22.32581121,ROBBERY,0.0
8390004002,August,22.32581121,ROBBERY,0.0
8391002021,June,22.32581121,ROBBERY,0.0
8391002021,July,22.32581121,ROBBERY,0.0
8391002021,August,22.32581121,ROBBERY,16.666666666666664
3204001020,June,22.32581121,ROBBERY,0.0
3204001020,July,22.32581121,ROBBERY,0.0
3204001020,August,22.32581121,ROBBERY,0.0
3201002025,June,22.32581121,ROBBERY,0.0
3201002025,July,22.32581121,ROBBERY,0.0
3201002025,August,22.32581121,ROBBERY,0.0
8391001095,June,23.39743976,ROBBERY,0.0
8391001095,July,23.39743976,ROBBERY,0.0
8391001095,August,23.39743976,ROBBERY,0.0
8391001037,June,22.32581121,ROBBERY,0.0
8391001037,July,22.32581121,ROBBERY,0.0
8391001037,August,22.32581121,ROBBERY,14.285714285714285
3204001020,June,22.32581121,ROBBERY,0.0
3204001020,July,22.32581121,ROBBERY,0.0
3204001020,August,22.32581121,ROBBERY,0.0
8391001035,June,22.32581121,ROBBERY,0.0
8391001035,July,22.32581121,ROBBERY,0.0
8391001035,August,22.32581121,ROBBERY,0.0
3201002032,June,22.32581121,ROBBERY,0.0
3201002032,July,22.32581121,ROBBERY,0.0
3201002032,August,22.32581121,ROBBERY,0.0
3201001014,June,22.32581121,ROBBERY,0.0
3201001014,July,22.32581121,ROBBERY,0.0
3201001014,August,22.32581121,ROBBERY,0.0
8391002013,June,22.38849028,ROBBERY,0.0
8391002013,July,22.38849028,ROBBERY,0.0
8391002013,August,22.38849028,ROBBERY,0.0
3204001032,June,22.32581121,ROBBERY,0.0
3204001032,July,22.32581121,ROBBERY,0.0
3204001032,August,22.32581121,ROBBERY,7.6923076923076925
3206001010,June,22.38849028,ROBBERY,6.25
3206001010,July,22.38849028,ROBBERY,0.0
3206001010,August,22.38849028,ROBBERY,0.0
2801002028,June,22.32581121,ROBBERY,0.0
2801002028,July,22.32581121,ROBBERY,0.0
2801002028,August,22.32581121,ROBBERY,0.0
8391001091,June,23.39743976,ROBBERY,23.076923076923077
8391001091,July,23.39743976,ROBBERY,0.0
8391001091,August,23.39743976,ROBBERY,6.666666666666667
8391001066,June,22.32581121,ROBBERY,10.0
8391001066,July,22.32581121,ROBBERY,0.0
8391001066,August,22.32581121,ROBBERY,0.0
8391002001,June,22.32581121,ROBBERY,0.0
8391002001,July,22.32581121,ROBBERY,28.57142857142857
8391002001,August,22.32581121,ROBBERY,0.0
8391001070,June,22.32581121,ROBBERY,0.0
8391001070,July,22.32581121,ROBBERY,0.0
8391001070,August,22.32581121,ROBBERY,0.0
2819001002,June,22.32581121,ROBBERY,14.285714285714285
2819001002,July,22.32581121,ROBBERY,0.0
2819001002,August,22.32581121,ROBBERY,0.0
8391001039,June,22.32581121,ROBBERY,0.0
8391001039,July,22.32581121,ROBBERY,0.0
8391001039,August,22.32581121,ROBBERY,0.0
3201002032,June,22.32581121,ROBBERY,0.0
3201002032,July,22.32581121,ROBBERY,0.0
3201002032,August,22.32581121,ROBBERY,0.0
8391002000,June,22.32581121,ROBBERY,0.0
8391002000,July,22.32581121,ROBBERY,0.0
8391002000,August,22.32581121,ROBBERY,0.0
8391002006,June,22.32581121,ROBBERY,0.0
8391002006,July,22.32581121,ROBBERY,0.0
8391002006,August,22.32581121,ROBBERY,0.0
8391001038,June,22.32581121,ROBBERY,0.0
8391001038,July,22.32581121,ROBBERY,0.0
8391001038,August,22.32581121,ROBBERY,0.0
8391001089,June,22.32581121,ROBBERY,0.0
8391001089,July,22.32581121,ROBBERY,0.0
8391001089,August,22.32581121,ROBBERY,0.0
3201001016,June,22.32581121,ROBBERY,0.0
3201001016,July,22.32581121,ROBBERY,0.0
3201001016,August,22.32581121,ROBBERY,0.0
3201002014,June,23.39743976,ROBBERY,0.0
3201002014,July,23.39743976,ROBBERY,0.0
3201002014,August,23.39743976,ROBBERY,0.0
8391002008,June,22.32581121,ROBBERY,0.0
8391002008,July,22.32581121,ROBBERY,7.6923076923076925
8391002008,August,22.32581121,ROBBERY,0.0
