ninis-deli-chicago,Nini's Deli,543 N Noble St, Chicago, IL 60642,461,5.0,delis
two-chicago,TWO,1132 W Grand Ave, Chicago, IL 60642,731,4.5,newamerican
pizzeria-bebu-chicago,Pizzeria Bebu,1521 N Fremont St, Chicago, IL 60642,125,4.5,pizza
ada-street-chicago,Ada Street,1664 N Ada St, Chicago, IL 60642,462,4.0,bars
earls-kitchen-bar-chicago,Earls Kitchen + Bar,1538 N Clybourn Ave, Chicago, IL 60642,276,4.0,newamerican
the-matchbox-chicago,The Matchbox,768 N Milwaukee Ave, Chicago, IL 60642,261,4.0,bars
opart-thai-house-chicago-2,Opart Thai House,1371 W Chicago Ave, Chicago, IL 60642,183,4.0,thai
tempesta-market-chicago-4,Tempesta Market,1372 W Grand Ave, Chicago, IL 60642,40,4.5,intlgrocery
g-and-o-chicago,G & O,459 W Ogden Ave, Chicago, IL 60642,162,4.0,newamerican
podhalanka-chicago,Podhalanka,1549 W Division St, Chicago, IL 60642,392,4.0,polish
cafe-central-chicago,Cafe Central,1437 W Chicago Ave, Chicago, IL 60642,201,4.0,puertorican
olive-mediterranean-grill-chicago-3,Olive Mediterranean Grill,1001 W North Ave, Chicago, IL 60642,220,4.0,mediterranean
burger-bar-chicago-lincoln-park-chicago,Burger Bar Chicago - Lincoln Park,1578 N Clybourn Ave, Chicago, IL 60642,929,4.0,burgers
flo-chicago,Flo,1434 W Chicago Ave, Chicago, IL 60642,834,4.0,breakfast_brunch
fort-willow-chicago-3,Fort Willow,1721 N Elston Ave, Chicago, IL 60642,13,4.5,bars
frontier-chicago-2,Frontier,1072 N Milwaukee Ave, Chicago, IL 60642,754,3.5,newamerican
ameer-kabob-chicago,Ameer Kabob,1050 N Milwaukee Ave, Chicago, IL 60642,204,4.0,mediterranean
oggi-trattoria-chicago-2,Oggi Trattoria,1118 W Grand Ave, Chicago, IL 60642,77,4.5,italian
eden-chicago-4,Eden,1748 W Lake St, Chicago, IL 60612,140,4.5,newamerican
mod-mex-and-mod-mix-with-rick-bayless-chicago-2,Mod Mex & Mod Mix With Rick Bayless,1059 N Halsted St, Chicago, IL 60642,1,5.0,cookingclasses
sono-wood-fired-chicago-2,Sono Wood Fired,1582 N Clybourn Ave, Chicago, IL 60642,228,4.0,italian
bar-biscay-chicago,Bar Biscay,1450 W Chicago Ave, Chicago, IL 60642,7,4.5,spanish
roti-modern-mediterranean-chicago-12,Roti Modern Mediterranean,1000 W North Ave, Chicago, IL 60642,7,4.5,mediterranean
jerk-modern-jamaican-grill-chicago,Jerk Modern Jamaican Grill,811 W Chicago Ave, Chicago, IL 60642,300,3.5,bbq
pokē-bowl-co-chicago-2,Pokē Bowl Co,1550 N Kingsbury, Chicago, IL 60642,19,4.0,poke
jieyi-sushi-chicago-3,Jieyi Sushi,1178 N Milwaukee Ave, Chicago, IL 60642,64,4.0,sushi
home-team-pizza-chicago,Home Team Pizza,1363 W Ohio St, Chicago, IL 60642,46,4.5,pizza
seadog-sushi-bar-chicago,Seadog Sushi Bar,1500 W Division St, Chicago, IL 60642,491,4.0,sushi
mod-pizza-chicago-6,MOD Pizza,1000 W North Ave, Chicago, IL 60642,4,5.0,hotdogs
goose-island-shrimp-house-chicago-chicago,Goose Island Shrimp House Chicago,1013 W Division St, Chicago, IL 60642,150,4.0,seafood
sushi-x-chicago,Sushi X,1136 W Chicago Ave, Chicago, IL 60642,451,4.0,sushi
kendall-college-the-dining-room-chicago,Kendall College - The Dining Room,900 N North Branch St, Chicago, IL 60642,115,4.5,newamerican
coalfire-pizza-chicago,Coalfire Pizza,1321 W Grand Ave, Chicago, IL 60642,979,4.0,pizza
piccolo-sogno-chicago,Piccolo Sogno,464 N Halsted St, Chicago, IL 60642,996,4.0,italian
habana-libre-restaurant-chicago,Habana Libre Restaurant,1440 W Chicago Ave, Chicago, IL 60642,427,4.0,cuban
bari-chicago,Bari,1120 W Grand Ave, Chicago, IL 60642,683,4.5,grocery
windy-city-cafe-chicago,Windy City Cafe,1062 W Chicago Ave, Chicago, IL 60642,266,4.0,breakfast_brunch
uncle-julios-chicago,Uncle Julio's,855 W North Ave, Chicago, IL 60642,1074,3.0,mexican
the-aberdeen-tap-chicago-2,The Aberdeen Tap,440 N Aberdeen St, Chicago, IL 60642,294,4.5,bars
sullys-house-chicago,Sully's House,1501 N Dayton St, Chicago, IL 60642,162,4.0,sportsbars
butterfly-sushi-bar-and-thai-cuisine-chicago-2,Butterfly Sushi Bar & Thai Cuisine,1139 W Grand Ave, Chicago, IL 60642,965,4.0,thai
the-silver-palm-chicago,The Silver Palm,768 N Milwaukee Ave, Chicago, IL 60642,275,3.5,tradamerican
kingsbury-street-cafe-chicago,Kingsbury Street Cafe,1523 N Kingsbury St, Chicago, IL 60642,398,4.0,newamerican
vinnies-sub-shop-chicago,Vinnie's Sub Shop,1204 W Grand Ave, Chicago, IL 60642,157,4.5,delis
thalia-sushi-bistro-and-lounge-chicago,Thalia Sushi Bistro & Lounge,833 W Chicago Ave, Chicago, IL 60642,352,3.5,sushi
uptons-breakroom-chicago,Upton's Breakroom,2054 W Grand Ave, Chicago, IL 60612,149,4.5,vegan
lovely-kitchen-and-cafe-chicago,Lovely Kitchen & Cafe,1130 N Milwaukee Ave, Chicago, IL 60642,385,4.0,coffee
mart-anthonys-chicago,Mart Anthony's,1200 W Hubbard St, Chicago, IL 60642,300,4.0,italian
twisted-spoke-chicago,Twisted Spoke,501 N Ogden Ave, Chicago, IL 60642,648,3.5,breakfast_brunch
tsukiji-fish-market-chicago-5,Tsukiji Fish Market,1156 W Grand Ave, Chicago, IL 60642,136,4.0,sushi
paula-and-monicas-pizzeria-chicago,Paula & Monica's Pizzeria,1518 W Chicago Ave, Chicago, IL 60642,167,4.0,pizza
local-foods-cafe-chicago-2,Local Foods Cafe,1427 W Willow, Chicago, IL 60642,13,4.5,newamerican
pie-eyed-pizzeria-chicago,Pie-Eyed Pizzeria,1111 W Chicago Ave, Chicago, IL 60642,146,3.5,pizza
joes-on-weed-st-chicago,Joe's On Weed St,940 W Weed St, Chicago, IL 60642,371,3.0,sportsbars
da-pizza-dude-chicago-3,Da Pizza Dude,, Chicago, IL 60642,17,5.0,pizza
stanleys-grill-chicago-2,Stanley's Grill,1543 N Elston Ave, Chicago, IL 60642,36,3.5,tradamerican
butterfly-sushi-bar-and-thai-cuisine-chicago-3,Butterfly Sushi Bar & Thai Cuisine,1421 W Chicago Ave, Chicago, IL 60642,337,3.5,sushi
the-rice-table-chicago,The Rice Table,, Chicago, IL 60642,32,4.0,catering
kin-sushi-and-thai-cuisine-chicago,Kin Sushi & Thai Cuisine,1132 N Milwaukee Ave, Chicago, IL 60642,205,4.0,thai
